category	course_college	url	reason
noslides	CS3398 - Texas State University	https://userweb.cs.txstate.edu/~rp31/cs3398SumMain.html	no
noslides	CS3650 - Northeastern University	https://course.khoury.northeastern.edu/cs3650/	no
noslides	CS3733 - Worcester Polytechnic Institute	https://web.cs.wpi.edu/~kfisler/Courses/CS3733/Lectures/	no
noslides	CS390 - Old Dominion University	https://www.cs.odu.edu/~zeil/cs390/latest/Public/orientationSlides/orientationSlides__slides.html	html
noslides	CS4100 - Northeastern University	http://www.ccs.neu.edu/home/camato/4100summaryS25.html	no
noslides	CS4240 - Georgia Institute of Technology	https://faculty.cc.gatech.edu/~qrzhang/course/cs4240/index.html	no
noslides	CS439 - University of Texas at Austin	https://www.cs.utexas.edu/~ans/classes/cs439/index.html	no
noslides	CS4675 - Georgia Institute of Technology	https://faculty.cc.gatech.edu/~lingliu/courses/cs6675/14Spring/lectures.htm	no
noslides	CS4820 - Cornell University	https://www.cs.cornell.edu/courses/cs4820/2024sp/lectures/	handwritten notes on pdfs
noslides	CS50X - Harvard University	https://cs50.harvard.edu/x/notes/0/	no
noslides	CS5100 - Northeastern University	https://www.khoury.northeastern.edu/home/camato/5100scheduleS24.html	no
noslides	CS5340 - Northeastern University	https://www.ccs.neu.edu/home/intille/teaching/HCI/Slides/L2Final.pdf	no
noslides	CS6301 - University of Texas at Dallas	https://labs.utdallas.edu/irvl/courses/fall-2024-cs-6301/	no
noslides	CS6301UID - University of Texas at Dallas	https://labs.utdallas.edu/irvl/courses/fall-2024-cs-6301/	no
noslides	CSC015 - Hofstra University	https://cs.hofstra.edu/~knarig/csc015/	no
noslides	CSC139 - California State University, Sacramento	https://athena.ecs.csus.edu/~zhangd/csc139/csc139.htm	no
noslides	CSC144 - University of Arizona	https://cs.arizona.edu/classes/cs144/spring24-002/	no
noslides	CSC222 - Creighton University	https://dave-reed.com/csc222.S12/	no
noslides	CSC28 - California State University, Sacramento	http://devincook.com/csc/28/notes.html	no
noslides	CSC3010 - Wayne State University	https://fengweiz.github.io/19sp-csc3010/index.html	no
noslides	CSC322 - University of Miami	https://www.cs.miami.edu/home/geoff/Courses/CSC322-25F/	no
noslides	CSC360 - University of Victoria	https://webhome.cs.uvic.ca/~pan/csc360f14/	no
noslides	CSC545 - University of Miami	https://www.cs.miami.edu/~geoff/Courses/CSC545-08S/	no
noslides	CSCE350 - University of South Carolina	https://cse.sc.edu/~mgv/csce350sp05/index.html	no
noslides	CSCE390 - University of South Carolina	https://www.cse.sc.edu/~mgv/csce390f23/index.html	no
noslides	CSCI1100 - Rensselaer Polytechnic Institute	https://www.cs.rpi.edu/~mushtu/CS1100/index.html	no
noslides	CSCI1111 - George Washington University	https://www2.seas.gwu.edu/~kinga/CS1111_S26/index.html	no
