course_college	course_code	num_ratings	link
ML10601 - Carnegie Mellon University	ML10601	6	https://www.cs.cmu.edu/afs/cs/academic/class/10601-f10/lecture.html
CS4450 - Cornell University	CS4450	6	https://www.cs.cornell.edu/courses/cs4450/2022fa/schedule.html
ECE2100 - Cornell University	ECE2100	12	https://ocw.ece.cornell.edu/ece-2100-lecture-notes/
ECE4960 - Cornell University	ECE4960	4	https://ocw.ece.cornell.edu/courses/ece-4960-computational-and-software-engineering/ece-4960-lectures-notes-and-handouts/
CS316 - Duke University	CS316	14	https://sites.duke.edu/compsci_316d_001_f25/
COP4521 - Florida State University	COP4521	5	https://www.cs.fsu.edu/~xyuan/cop4521/lect1_syllabus4521.pptx
COP4710 - Florida State University	COP4710	4	https://www.cs.fsu.edu/~zhao/cop4710/slides/Introduction.pptx
CSCI3411 - George Washington University	CSCI3411	10	https://www2.seas.gwu.edu/~gparmer/courses/f13_3411/
CS1331 - Georgia Institute of Technology	CS1331	235	https://cs1331.gitlab.io/slides/introduction.pdf
CMSC231 - Haverford College	CMSC231	5	https://thao-nguyen-ai.github.io/courses/cs105/s25/index.html
CSE1321 - Kennesaw State University	CSE1321	4	https://campus.kennesaw.edu/colleges-departments/ccse/first-year-experience/cse1321_python/slides/m0_algorithms_and_abstraction_v3.pptx
CS4453 - Lakehead University	CS4453	9	https://github.com/ConnorAustin/CS4453/blob/master/chapter01.pdf
GIF1003 - Laval University	GIF1003	23	https://www.cs.virginia.edu/c++programdesign/slides/
IFT1006 - Laval University	IFT1006	4	https://www.cs.cmu.edu/~aldrich/courses/17-363-fa23/slides/01-introduction.pdf
IFT2002 - Laval University	IFT2002	4	http://nr9.github.io/IFT-2002/
CSE342 - Lehigh University	CSE342	5	https://www.cse.lehigh.edu/~chuah/courses/cse342/Welcome.pdf
COMP521 - McGill University	COMP521	14	https://github.com/francis-piche/study-guides-mcgill/blob/master/IN_PROGRESS-COMP521_Modern_Computer_Games.pdf
CSE331 - Michigan State University	CSE331	27	https://www.cse.msu.edu/~cse331/Section1/notes/
CSE435 - Michigan State University	CSE435	8	https://www.cse.msu.edu/~cse435/Lectures/2015-Lectures/cse435_Lecture_1.pdf
CSE480 - Michigan State University	CSE480	9	https://www.cse.msu.edu/~pramanik/teaching/courses/cse480/14s/
CSE4733 - Mississippi State University	CSE4733	10	https://ramkumarmsu.github.io/s224733.html
BNFO135 - New Jersey Institute of Technology	BNFO135	4	https://web.njit.edu/~usman/courses/bnfo135_fall12/bnfo135_lec1.ppt
CS635 - New Jersey Institute of Technology	CS635	4	http://eceweb1.rutgers.edu/~marsic/books/SE/instructor/slides/
ECE563 - North Carolina State University	ECE563	4	https://ericrotenberg.wordpress.ncsu.edu/ece-463-563-fall-2018-microprocessor-architecture/
CSCI372 - North Dakota State University	CSCI372	8	https://web.cs.ndsu.nodak.edu/~slator/html/CS372/index.html
CS1800 - Northeastern University	CS1800	20	
CS3000 - Northeastern University	CS3000	7	https://tlarock.github.io/teaching/cs3000/slides/Lecture01_withNotes.pdf
CS5700 - Northeastern University	CS5700	5	https://cnitarot.github.io/courses/nt_Fall_2017/index.html
CS5770 - Northeastern University	CS5770	28	https://zzm7000.github.io/teaching/2024fallcy5770/index.html
CY2550 - Northeastern University	CY2550	40	https://www.ccs.neu.edu/home/alina/classes/Spring2020/Lecture1.pdf
CS331 - Queens College	CS331	45	https://github.com/ps-keerthana/COURSE_WORKS/blob/main/Computer_Networks/Lec_Slides/CS331_TranportLayer_Lec13-15.pdf
CS344 - Queens College	CS344	14	https://github.com/udacity/cs344/blob/master/Lesson%20Slides/CS344_Lesson2_Slides.pdf
CSSE120 - Rose-Hulman Institute of Technology	CSSE120	20	https://www.rose-hulman.edu/class/csse/archive/csse120-old/csse120-old-terms/201120robotics/Slides/01-IntroToCourseEclipseAndPython.pdf
CSSE220 - Rose-Hulman Institute of Technology	CSSE220	39	https://www.rose-hulman.edu/class/csse/csse220/201720/Slides/01%20JavaIntro.pdf
CSSE221 - Rose-Hulman Institute of Technology	CSSE221	6	https://www.rose-hulman.edu/class/csse/csse221/201210/Slides/01%20Introduction.pdf
